Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2023,Academy Of The Holy Names,330025,Albany,Albany,12208,6,<4,<4,0,<4,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Adult Learning Center,330032,Albany,Albany,12203,<4,0,0,0,<4,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Albany Academies,330035,Albany,Albany,12208,15,5,4,<4,5,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Albany High School,330041,Albany,Albany,12203,236,30,25,5,176,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Albany Leadership Charter Scho,330062,Albany,Albany,12208,13,6,<4,<4,5,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Berne-Knox-Westerlo Junior-Sen,330415,Berne,Albany,12023,14,<4,<4,0,10,"Berne, NY 12023
(42.5955548, -74.1470374)"
Fall 2023,Bethlehem Central High School,331595,Delmar,Albany,12054,159,54,39,7,59,"Delmar, NY 12054
(42.6128173, -73.83526)"
Fall 2023,Bishop Maginn High School,330043,Albany,Albany,12202,<4,0,0,0,<4,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Christian Brothers Academy,330050,Albany,Albany,12205,18,4,0,<4,12,"Albany, NY 12205
(42.7178817, -73.8214951)"
Fall 2023,Clayton A Bouton Junior/Senior,335740,Voorheesville,Albany,12186,45,7,16,<4,20,"Voorheesville, NY 12186
(42.636638, -73.9651239)"
Fall 2023,Cohoes High School,331425,Cohoes,Albany,12047,35,<4,10,0,24,"Cohoes, NY 12047
(42.7748464, -73.7142716)"
Fall 2023,Colonie Central High School,330055,Albany,Albany,12205,185,53,18,7,107,"Albany, NY 12205
(42.7178817, -73.8214951)"
Fall 2023,Green Tech High Charter School,330108,Albany,Albany,12202,23,4,<4,<4,16,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Guilderland High School,332210,Guilderland Ctr,Albany,12085,154,57,26,7,64,"Guilderland Ctr, NY 12085
(42.7026286, -73.9649977)"
Fall 2023,Harriet Tubman Democratic High,330044,Albany,Albany,12202,<4,0,0,0,<4,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Heatly Junior-Senior High Scho,332180,Green Island,Albany,12183,8,0,<4,<4,5,"Green Island, NY 12183
(42.743494, -73.69279)"
Fall 2023,Loudonville Christian School,332923,Loudonville,Albany,12211,5,0,0,<4,4,"Loudonville, NY 12211
(42.705331, -73.772851)"
Fall 2023,Northern Rivers - Neil Hellman,330066,Albany,Albany,12208,<4,0,0,0,<4,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Ravena-Coeymans-Selkirk High,334670,Ravena,Albany,12143,52,11,9,<4,30,"Ravena, NY 12143
(42.4649359, -73.8229047)"
Fall 2023,Shaker High School,333388,Latham,Albany,12110,221,72,19,5,125,"Latham, NY 12110
(42.7516601, -73.7723623)"
Fall 2023,St. Anne Institute,330078,Albany,Albany,12206,<4,<4,0,0,<4,"Albany, NY 12206
(42.6727449, -73.7816475)"
Fall 2023,Tech Valley High School,334898,Albany,Albany,12203,14,4,<4,<4,7,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Watervliet Junior/Senior High,335830,Watervliet,Albany,12189,39,<4,4,0,33,"Watervliet, NY 12189
(42.7335958, -73.7140234)"
Fall 2023,Alfred-Almond Central School,330135,Almond,Allegany,14804,16,5,4,<4,4,"Almond, NY 14804
(42.320892, -77.7979453)"
Fall 2023,Andover Central School,330185,Andover,Allegany,14806,8,<4,0,6,0,"Andover, NY 14806
(42.158259, -77.795244)"
Fall 2023,Belfast Central School,330375,Belfast,Allegany,14711,12,0,4,5,<4,"Belfast, NY 14711
(42.3245956, -78.1181087)"
Fall 2023,Bolivar-Richburg Central Schoo,330455,Bolivar,Allegany,14715,16,<4,0,<4,13,"Bolivar, NY 14715
(42.0836648, -78.1578882)"
Fall 2023,Canaseraga High School,331200,Canaseraga,Allegany,14822,4,<4,0,<4,<4,"Canaseraga, NY 14822
(42.444067, -77.808686)"
Fall 2023,Cuba-Rushford Central School,331560,Cuba,Allegany,14727,19,0,<4,11,6,"Cuba, NY 14727
(42.214082, -78.283863)"
Fall 2023,Fillmore Central School,331900,Fillmore,Allegany,14735,24,<4,6,6,10,"Fillmore, NY 14735
(42.466111, -78.114238)"
Fall 2023,Friendship Central School,332015,Friendship,Allegany,14739,11,0,<4,4,4,"Friendship, NY 14739
(42.2082346, -78.1374893)"
Fall 2023,Genesee Valley Central School,330395,Belmont,Allegany,14813,14,<4,4,5,<4,"Belmont, NY 14813
(42.227009, -78.032064)"
Fall 2023,Houghton Academy,332470,Houghton,Allegany,14744,<4,<4,0,0,0,"Houghton, NY 14744
(42.4209963, -78.1591358)"
Fall 2023,Scio Central School,335145,Scio,Allegany,14880,7,0,<4,<4,<4,"Scio, NY 14880
(42.1731528, -77.9913569)"
Fall 2023,Wellsville High School,335870,Wellsville,Allegany,14895,41,<4,4,27,9,"Wellsville, NY 14895
(42.1164041, -77.93935)"
Fall 2023,Whitesville Central School,335965,Whitesville,Allegany,14897,5,0,<4,<4,<4,"Whitesville, NY 14897
(42.0365633, -77.7656454)"
Fall 2023,Academy For Scholarship & Entr,330492,Bronx,Bronx,10466,14,5,<4,<4,6,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,Academy Of Mount St. Ursula,333390,Bronx,Bronx,10458,11,<4,5,0,4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Adlai E. Stevenson High School,333407,Bronx,Bronx,10473,<4,0,0,0,<4,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Alfred E. Smith High School,333485,Bronx,Bronx,10451,4,<4,0,<4,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,All Hallows High School,333410,Bronx,Bronx,10452,21,9,7,0,5,"Bronx, NY 10452
(40.8385512, -73.9202231)"
Fall 2023,Antonia Pantoja Preparatory Ac,331062,Bronx,Bronx,10473,<4,<4,<4,0,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Aquinas High School,333420,Bronx,Bronx,10457,<4,0,0,0,<4,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,"Archimedes Academy For Math, S",330481,Bronx,Bronx,10473,<4,0,0,<4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Astor Collegiate Academy,330508,Bronx,Bronx,10469,9,<4,4,<4,<4,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Belmont Preparatory High Schoo,330584,Bronx,Bronx,10458,5,<4,4,0,0,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Bronx Academy For Software Eng,331143,Bronx,Bronx,10458,5,<4,<4,0,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Bronx Academy Of Health Career,330797,Bronx,Bronx,10467,4,<4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx Academy Of Letters,330647,Bronx,Bronx,10451,4,<4,<4,0,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx Aerospace High School,330606,Bronx,Bronx,10467,5,<4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx Bridges High School,331076,Bronx,Bronx,10473,<4,0,0,<4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Bronx Career And College Prepa,331068,Bronx,Bronx,10456,<4,<4,0,0,0,"Bronx, NY 10456
(40.830161, -73.908787)"
